Time,Coculture,OD_600
0,BS_LP,0.102499999
0,BS_LP,0.101199999
0,BS_LP,0.103399999
0,BS_SC,0.0999
0,BS_SC,0.101000004
0,BS_SC,0.102799997
0,SC_LP,0.109700002
0,SC_LP,0.099399999
0,SC_LP,0.1021
0.5,BS_LP,0.101099998
0.5,BS_LP,0.100299999
0.5,BS_LP,0.102399997
0.5,BS_SC,0.0995
0.5,BS_SC,0.100900002
0.5,BS_SC,0.102899998
0.5,SC_LP,0.109200001
0.5,SC_LP,0.098200001
0.5,SC_LP,0.101199999
1,BS_LP,0.101099998
1,BS_LP,0.100699998
1,BS_LP,0.102300003
1,BS_SC,0.100900002
1,BS_SC,0.1021
1,BS_SC,0.104400001
1,SC_LP,0.109200001
1,SC_LP,0.098300003
1,SC_LP,0.1017
1.5,BS_LP,0.101000004
1.5,BS_LP,0.100500003
1.5,BS_LP,0.101899996
1.5,BS_SC,0.102200001
1.5,BS_SC,0.1039
1.5,BS_SC,0.106299996
1.5,SC_LP,0.1087
1.5,SC_LP,0.098200001
1.5,SC_LP,0.101499997
2,BS_LP,0.100900002
2,BS_LP,0.100599997
2,BS_LP,0.101999998
2,BS_SC,0.105099998
2,BS_SC,0.1074
2,BS_SC,0.110200003
2,SC_LP,0.109200001
2,SC_LP,0.098499998
2,SC_LP,0.101899996
2.5,BS_LP,0.100500003
2.5,BS_LP,0.100599997
2.5,BS_LP,0.101599999
2.5,BS_SC,0.109800003
2.5,BS_SC,0.112599999
2.5,BS_SC,0.115699999
2.5,SC_LP,0.108900003
2.5,SC_LP,0.098300003
2.5,SC_LP,0.1017
3,BS_LP,0.100699998
3,BS_LP,0.100699998
3,BS_LP,0.1021
3,BS_SC,0.118299998
3,BS_SC,0.121699996
3,BS_SC,0.126599997
3,SC_LP,0.1087
3,SC_LP,0.0986
3,SC_LP,0.1017
3.5,BS_LP,0.100599997
3.5,BS_LP,0.100599997
3.5,BS_LP,0.101800002
3.5,BS_SC,0.131799996
3.5,BS_SC,0.136500001
3.5,BS_SC,0.141100004
3.5,SC_LP,0.109200001
